battery_name,cycle,avg_voltage_measured,avg_current_measured,avg_temp_measured,capacity_Ah
b0005,1,3.5298286688693397,-1.8187019641679725,32.572328114029,1.861951950125798
b0005,3,3.5373201277859705,-1.8175598506612867,32.72523522519307,1.8518340400596853
b0005,5,3.5437367282719,-1.8164865418840956,32.64286193755933,1.84079871703338
b0005,7,3.5436661072601456,-1.8255891938692528,32.514876462048825,1.8406884921096607
b0005,9,3.5423432526672167,-1.8261139590277584,32.38234901543077,1.84008683771641
b0005,11,3.5413347346347575,-1.8168108743168805,32.43418218230641,1.841099358222776
b0005,13,3.5410250495075206,-1.816791144707133,32.48041644475799,1.8405862545426583
b0005,15,3.554133296801585,-1.8443412120754061,32.41046186109587,1.831154136617008
b0005,17,3.5529355991467946,-1.853972745505648,32.34614083129999,1.8302233813202415
b0005,19,3.5512057319376997,-1.8535899338510957,32.27679750791685,1.8299994933417423
b0005,21,3.54929231974095,-1.863380178294828,32.15709350345253,1.8299980558998383
b0005,24,3.559759220648976,-1.872968810287894,32.36407129853099,1.819597972110518
b0005,26,3.558081969139198,-1.8826095043160835,32.3181954403762,1.8190998479483709
b0005,28,3.555692244172496,-1.882536787636365,32.15709029211502,1.8187990098955564
b0005,30,3.5627468180175024,-1.8817935155260215,32.04407000314609,1.8079631905409188
b0005,32,3.5614521756489204,-1.8921861285036712,31.93159367491153,1.8074753229188165
b0005,34,3.5603420474985814,-1.9027629207037409,31.94165535902929,1.8079745895831805
b0005,36,3.5591189041401865,-1.9133470605822436,31.96500864547673,1.8084160844930315
b0005,38,3.557886771846508,-1.9131602105481538,31.966241678512723,1.8081314276923424
b0005,41,3.5520375235511916,-1.8553455745575975,32.37143341978575,1.8524143699757374
b0005,45,3.5525668436897124,-1.8746995273150973,32.70024990461686,1.852794186676616
b0005,49,3.556794038327039,-1.8738272127883846,32.32266411829938,1.8415701884947469
b0005,53,3.5614100044534203,-1.883193546754683,31.98795810666763,1.8311634883197179
b0005,57,3.5566107947817995,-1.873239184822504,31.89445652469139,1.8305087381422454
b0005,61,3.5586742170266272,-1.9139593751505897,31.78039681801023,1.8309385444155284
b0005,65,3.564103182686904,-1.9030532722310995,31.688747146342205,1.8193916427413332
b0005,69,3.5595880635942723,-1.9134590742247917,31.596747992569153,1.820129694529988
b0005,73,3.556833231052199,-1.9136209099025532,31.565586498787074,1.8193301668811832
b0005,77,3.5624410850948953,-1.9025819745719057,31.591246670452076,1.8081079539642115
b0005,81,3.559140710685566,-1.913062163863896,31.603485399391182,1.809387285628278
b0005,85,3.5573161327793144,-1.9206181171184122,31.91556385491565,1.8547294960942913
